おろします;降ろします/下ろします;oroshimasu;take down
とどけます;届けます;todokemasu;deliver
せわをします;世話をします;sewawoshimasu;take care
いや;嫌;iya;dislike
きびしい;厳しい;kibishii;strict
じゅく;塾;juku;cram school
スケジュール;スケジュール;sukeju-ru;schedule
せいと;生徒;seito;student
もの;者;mono;person
にゅうかん;入管;nyuukan;immigration
さいにゅうこくビザ;再入国ビザ;sainyuukokubiza;re-entry visa
じゆうに;自由に;jiyuuni;free
ひさしぶり;久しぶり;hisashiburi;long time
えいぎょう;営業;eigyou;sales
それまでに;それまでに;soremadeni;before that
かまいません;かまいません;kamaimasen;no problem
たのしみます;楽しみます;tanoshimimasu;have fun
もともと;もともと;motomoto;originally
かわりをします;代わりをします;kawariwoshimasu;replace
きょうそうします;競走します;kyousoushimasu;race
サーカス;サーカス;sakusu;circus
げい;芸;gei;art performance
うつくしい;美しい;utsukushii;beautiful
すがた;姿;suguta;shape/figure
こころ;心;kokoro;heart
